question_text,question_type,subject,difficulty,points,correct_answer,option_a,option_b,option_c,option_d,option_e
"Jika $z = 3 + 4i$, maka $|z|$ adalah...",multiple_choice,Matematika,hard,4,B,3,5,7,9,12
"Gradien garis yang tegak lurus dengan garis $2x + 3y = 6$ adalah...",multiple_choice,Matematika,hard,4,A,3/2,-3/2,2/3,-2/3,1
"Nilai dari $\sin 15° \cdot \cos 15°$ adalah...",multiple_choice,Matematika,hard,4,C,1/8,1/6,1/4,1/3,1/2
"Jika $f(x) = \sqrt{x+1}$, maka domain dari f(x) adalah...",multiple_choice,Matematika,hard,4,B,x ≥ 0,x ≥ -1,x > -1,x ≤ -1,semua bilangan real
"Luas permukaan bola dengan jari-jari 7 cm adalah...",multiple_choice,Matematika,hard,4,D,154 cm²,308 cm²,462 cm²,616 cm²,770 cm²
"Nilai dari $\frac{d}{dx}(\sin x \cdot \cos x)$ adalah...",multiple_choice,Matematika,hard,4,A,cos 2x,sin 2x,-sin 2x,-cos 2x,2 sin x cos x
"Jika $a^2 + b^2 = 25$ dan $ab = 12$, maka nilai $(a+b)^2$ adalah...",multiple_choice,Matematika,hard,4,C,37,43,49,55,61
"Median dari data: 3, 7, 5, 9, 11, 4, 8 adalah...",multiple_choice,Matematika,hard,4,B,6,7,8,9,10
"Banyaknya simetri lipat pada segi enam beraturan adalah...",multiple_choice,Matematika,hard,4,A,6,5,4,3,2
"Nilai dari $\sum_{n=1}^{\infty} \frac{1}{2^n}$ adalah...",multiple_choice,Matematika,hard,4,D,1/2,3/4,7/8,1,2
"Jika fungsi $f(x) = ax^2 + bx + c$ memiliki nilai maksimum 10 di x=2, dan f(0)=2, maka nilai a adalah...",multiple_choice,Matematika,hard,4,B,1,-2,-3,2,3
"Banyaknya cara memilih 3 buku dari 8 buku yang berbeda adalah...",multiple_choice,Matematika,hard,4,C,28,42,56,70,84
"Jika $\cos x = \frac{3}{5}$ dan x di kuadran I, maka nilai $\tan x$ adalah...",multiple_choice,Matematika,hard,4,A,4/3,3/4,5/3,3/5,5/4
"Nilai dari $\int x \cdot e^x \, dx$ adalah...",multiple_choice,Matematika,hard,4,B,e^x(x-1)+C,e^x(x-1)+C,xe^x+C,e^x+C,x²e^x+C
"Volume limas dengan alas persegi 6×6 cm dan tinggi 8 cm adalah...",multiple_choice,Matematika,hard,4,D,72 cm³,96 cm³,108 cm³,96 cm³,144 cm³
"Buktikan bahwa untuk setiap bilangan bulat positif n, berlaku: $1 + 2 + 3 + ... + n = \frac{n(n+1)}{2}$. Gunakan induksi matematika untuk membuktikan formula ini dan jelaskan setiap langkahnya dengan detail!",essay,Matematika,hard,20,"Pembuktian dengan induksi matematika:<br>1. Basis: n=1, maka 1 = 1(1+1)/2 = 1 ✓<br>2. Hipotesis: Asumsikan benar untuk n=k, yaitu 1+2+...+k = k(k+1)/2<br>3. Langkah induksi: Buktikan untuk n=k+1<br>   1+2+...+k+(k+1) = k(k+1)/2 + (k+1)<br>   = (k(k+1) + 2(k+1))/2<br>   = (k+1)(k+2)/2<br>   = (k+1)((k+1)+1)/2 ✓<br>Jadi terbukti untuk semua n."
"Sebuah kolam renang berbentuk persegi panjang dengan panjang 25 meter dan lebar 15 meter. Kedalaman kolam di ujung dangkal adalah 1 meter dan di ujung dalam adalah 3 meter, dengan dasar kolam membentuk bidang miring. Hitunglah volume air dalam kolam tersebut! Jelaskan langkah perhitungan dengan detail.",essay,Matematika,hard,20,"Volume = Luas alas × tinggi rata-rata<br>Tinggi rata-rata = (1 + 3)/2 = 2 meter<br>Luas alas = 25 × 15 = 375 m²<br>Volume = 375 × 2 = 750 m³<br><br>Atau menggunakan rumus prisma trapesium:<br>V = 1/2 × (h₁ + h₂) × p × l<br>V = 1/2 × (1 + 3) × 25 × 15<br>V = 1/2 × 4 × 375<br>V = 750 m³"
"Diberikan fungsi kuadrat $f(x) = ax^2 + bx + c$ dengan grafik melalui titik (1,4), (2,7), dan (3,12). Tentukan nilai a, b, dan c! Jelaskan metode yang Anda gunakan untuk menyelesaikan sistem persamaan ini.",essay,Matematika,hard,20,"Substitusi ketiga titik ke f(x):<br>1. f(1)=4: a + b + c = 4<br>2. f(2)=7: 4a + 2b + c = 7<br>3. f(3)=12: 9a + 3b + c = 12<br><br>Eliminasi:<br>Persamaan (2)-(1): 3a + b = 3 ... (4)<br>Persamaan (3)-(2): 5a + b = 5 ... (5)<br>Persamaan (5)-(4): 2a = 2, maka a = 1<br><br>Substitusi a=1 ke (4): 3(1) + b = 3, maka b = 0<br>Substitusi a=1, b=0 ke (1): 1 + 0 + c = 4, maka c = 3<br><br>Jadi: a = 1, b = 0, c = 3<br>f(x) = x² + 3"
"Dalam sebuah turnamen catur, setiap peserta harus bertanding melawan setiap peserta lainnya tepat satu kali. Jika total terdapat 45 pertandingan, berapa banyak peserta dalam turnamen tersebut? Jelaskan reasoning matematika Anda dan buktikan jawabannya!",essay,Matematika,hard,20,"Setiap peserta bertanding dengan peserta lainnya membentuk kombinasi.<br>Jika ada n peserta, banyak pertandingan = C(n,2) = n(n-1)/2<br><br>Diketahui: n(n-1)/2 = 45<br>n(n-1) = 90<br>n² - n - 90 = 0<br><br>Menggunakan rumus ABC:<br>n = (1 ± √(1+360))/2<br>n = (1 ± √361)/2<br>n = (1 ± 19)/2<br><br>n = 10 atau n = -9<br><br>Karena n harus positif, maka n = 10<br><br>Jadi ada 10 peserta.<br>Verifikasi: C(10,2) = 10×9/2 = 45 ✓"
"Sebuah perusahaan memproduksi dua jenis produk A dan B. Produk A membutuhkan 2 jam mesin dan 3 jam tenaga kerja. Produk B membutuhkan 4 jam mesin dan 2 jam tenaga kerja. Tersedia 80 jam mesin dan 90 jam tenaga kerja per hari. Keuntungan produk A adalah Rp100.000 dan produk B adalah Rp150.000. Berapa jumlah optimal masing-masing produk yang harus diproduksi untuk memaksimalkan keuntungan? Selesaikan menggunakan metode program linear!",essay,Matematika,hard,20,"Misalkan x = jumlah produk A, y = jumlah produk B<br><br>Fungsi tujuan: Z = 100.000x + 150.000y (maksimum)<br><br>Kendala:<br>1. Mesin: 2x + 4y ≤ 80 → x + 2y ≤ 40<br>2. Tenaga kerja: 3x + 2y ≤ 90<br>3. x ≥ 0, y ≥ 0<br><br>Titik potong:<br>- (0,0): Z = 0<br>- (0,20): Z = 3.000.000<br>- (30,0): Z = 3.000.000<br>- Titik potong kendala: x+2y=40 dan 3x+2y=90<br>  2x = 50, x = 25<br>  25 + 2y = 40, y = 7.5<br>  (25, 7.5): Z = 100.000(25) + 150.000(7.5) = 3.625.000<br><br>Jawaban: Produk A = 25 unit, Produk B = 7-8 unit<br>Keuntungan maksimum = Rp3.625.000"
