question_text,question_type,options,correct_answer,subject,difficulty,points
"<p>Matriks A diagonalisabel jika dan hanya jika:</p>",multiple_choice,"A memiliki n vektor eigen yang bebas linear|det(A) ≠ 0|A adalah matriks simetris|A adalah matriks ortogonal",A,Aljabar Linear,hard,20
"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg==' alt='matrix' style='max-width: 100%; height: auto; margin: 10px 0; border-radius: 4px;'/><p>Hitung eigenvalue dari matriks di atas:</p>",multiple_choice,"λ₁ = 2, λ₂ = 3|λ₁ = 1, λ₂ = 4|λ₁ = 0, λ₂ = 5|λ₁ = -1, λ₂ = 6",B,Aljabar Linear,hard,20
"Fungsi f(z) = z² adalah fungsi analitik untuk?",multiple_choice,"Semua z ∈ ℂ|Hanya z ≠ 0|Hanya Re(z) > 0|Tidak ada z",A,Analisis Kompleks,medium,15
"Teorema Cauchy menyatakan bahwa integral kontur dari fungsi analitik pada domain tertutup adalah?",multiple_choice,"0|1|∞|Tergantung fungsi",A,Analisis Kompleks,hard,20
"<p>Diberikan fungsi f(z) = 1/(z-1). Singularitas dari f terletak di:</p>",multiple_choice,"z = 1|z = 0|z = -1|z = i",A,Analisis Kompleks,medium,15
"Residu dari f(z) = 1/z² di z = 0 adalah?",multiple_choice,"0|1|-1|Tidak terdefinisi",A,Analisis Kompleks,hard,20
"<p>Formula Cauchy untuk turunan:</p><img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg==' alt='formula' style='max-width: 100%; height: auto; margin: 10px 0; border-radius: 4px;'/><p>Nilai n! dalam formula di atas menyatakan?</p>",multiple_choice,"Turunan ke-n dari f|Faktorial|Integral ke-n|Koefisien",A,Analisis Kompleks,hard,25
"Jika fungsi f: ℝ → ℝ kontinu di setiap titik, maka f adalah?",multiple_choice,"Terintegral Riemann|Terdiferensiasi|Monoton|Terbatas",A,Analisis Riil,medium,15
"Teorema Bolzano-Weierstrass menyatakan bahwa setiap barisan terbatas di ℝ memiliki?",multiple_choice,"Subbarisan konvergen|Limit|Supremum|Infimum",A,Analisis Riil,hard,20
"Suatu fungsi f dikatakan uniformly continuous jika?",multiple_choice,"Untuk setiap ε > 0, ada δ > 0 yang sama untuk semua x|Kontinu di setiap titik|Terdiferensiasi|Terbatas",A,Analisis Riil,hard,20
"<p>Deret ∑(1/n²) dari n=1 hingga ∞ adalah:</p>",multiple_choice,"Konvergen|Divergen|Osilasi|Tidak terdefinisi",A,Analisis Riil,medium,15
"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg==' alt='graph' style='max-width: 100%; height: auto; margin: 10px 0; border-radius: 4px;'/><p>Berdasarkan grafik fungsi di atas, fungsi tersebut:</p>",multiple_choice,"Kontinu tapi tidak terdiferensiasi di x=0|Terdiferensiasi di semua titik|Tidak kontinu di x=0|Tidak terbatas",A,Analisis Riil,hard,20
"Hitung lim(x→0) sin(x)/x:",multiple_choice,"1|0|∞|Tidak ada",A,Analisis Riil,easy,10
